"Date","Price","Open","High","Low","Change %"
"Sep 19, 2016","0.650","0.649","0.649","0.649","-4.69%"
"Sep 18, 2016","0.682","0.682","0.682","0.682","0.00%"
"Sep 17, 2016","0.682","0.682","0.682","0.682","0.29%"
"Sep 16, 2016","0.680","0.682","0.682","0.682","4.62%"
"Sep 15, 2016","0.650","0.648","0.648","0.648","0.00%"
"Sep 14, 2016","0.650","0.648","0.648","0.648","3.17%"
"Sep 13, 2016","0.630","0.629","0.629","0.629","5.18%"
"Sep 12, 2016","0.599","0.599","0.599","0.599","-0.17%"
"Sep 09, 2016","0.600","0.599","0.599","0.599","0.00%"
"Sep 08, 2016","0.600","0.600","0.600","0.600","1.69%"
"Sep 07, 2016","0.590","0.592","0.592","0.592","-6.35%"
"Sep 05, 2016","0.630","0.631","0.631","0.631","-0.32%"
"Sep 04, 2016","0.632","0.632","0.632","0.632","0.32%"
"Sep 02, 2016","0.630","0.632","0.632","0.632","0.00%"
