"Date","Price","Open","High","Low","Vol.","Change %"
"09/27/2016","241.65","242.70","242.74","241.47","17.62K","0.00%"
"09/26/2016","241.65","242.70","242.74","241.47","17.62M","-0.44%"
"09/23/2016","242.73","242.47","243.31","242.19","22.99M","0.11%"
"09/22/2016","242.47","243.26","243.95","242.01","26.26M","-0.34%"
"09/21/2016","243.30","237.54","243.88","237.32","27.10M","2.37%"
"09/20/2016","237.67","237.83","237.98","237.08","18.89M","-0.07%"
"09/19/2016","237.83","236.84","238.40","236.84","22.99M","0.42%"
"09/14/2016","236.84","236.57","237.22","235.36","32.36M","0.11%"
"09/13/2016","236.58","237.46","238.27","236.21","19.15M","-0.37%"
"09/12/2016","237.46","238.83","238.99","237.44","20.43M","-0.57%"
"09/10/2016","238.83","241.24","241.24","238.41","14.28M","-1.01%"
"09/09/2016","241.27","241.82","241.82","240.18","24.40M","-0.28%"
"09/08/2016","241.95","240.70","242.71","240.70","25.88M","0.50%"
"09/07/2016","240.75","240.17","240.75","239.95","29.69M","0.12%"
"09/06/2016","240.47","239.56","240.48","239.40","31.38M","0.38%"
"09/05/2016","239.57","238.89","240.07","238.89","23.53M","0.26%"
"09/02/2016","238.95","239.20","239.30","238.08","23.24M","-0.16%"
"09/01/2016","239.34","240.97","240.97","239.18","23.33M","-0.68%"
"08/31/2016","240.97","242.22","242.30","239.81","25.87M","-0.55%"
"08/30/2016","242.31","240.90","242.31","240.89","27.84M","0.59%"
"08/29/2016","240.88","240.32","240.88","238.57","34.04M","0.31%"
"08/26/2016","240.14","239.50","240.42","239.50","35.62M","0.02%"
"08/25/2016","240.10","238.56","240.10","238.55","32.06M","0.59%"
"08/24/2016","238.68","238.00","238.90","237.66","28.79M","0.29%"
"08/23/2016","238.00","237.52","238.23","237.39","23.76M","0.15%"
"08/22/2016","237.65","240.77","240.77","236.54","30.46M","-1.57%"
"08/19/2016","241.44","243.23","243.83","240.56","31.04M","-0.74%"
"08/18/2016","243.24","243.58","243.76","242.42","27.78M","-0.45%"
"08/17/2016","244.33","241.75","244.83","240.62","34.06M","1.09%"
"08/16/2016","241.69","242.28","243.09","241.37","28.65M","-0.25%"
"08/15/2016","242.29","243.25","243.82","242.06","31.60M","-0.37%"
"08/12/2016","243.18","242.99","244.13","242.22","31.18M","0.10%"
